,章#,章,节#,节,序号,条款,结构
86,第七章,监管和处置,第一节,监管处置,第八十七条,银监会及其派出机构督促商业银行开展危机处理，做好舆情监测和媒体沟通，做好合理宣传解释工作，防止不实信息导致银行业金融机构声誉风险。涉及行业性运营中断事件处置情况通报时，由银监会按照信息披露程序统一对外发布信息。,第七章 监管和处置/第一节 监管处置/第八十七条
87,第七章,监管和处置,第一节,监管处置,第八十八条,银监会及其派出机构加强与相关部门和监管机构的协作，协调各方力量开展处置工作。,第七章 监管和处置/第一节 监管处置/第八十八条
88,第七章,监管和处置,第一节,监管处置,第八十九条,商业银行业务恢复正常运行后，应当将运营中断事件及其处置工作的评估、总结和改进报告报送银监会或其派出机构。银监会或其派出机构对事件进行评估和现场调查，查明事件原因，进行责任认定。,第七章 监管和处置/第一节 监管处置/第八十九条
89,第七章,监管和处置,第二节,持续监管,第九十条,银监会及其派出机构将商业银行业务连续性管理纳入其风险管理综合评估范围。,第七章 监管和处置/第二节 持续监管/第九十条
90,第七章,监管和处置,第二节,持续监管,第九十一条,银监会及其派出机构对商业银行业务连续性管理工作进行监督和检查，对业务连续性工作进行综合评价，提出监管要求。,第七章 监管和处置/第二节 持续监管/第九十一条
91,第七章,监管和处置,第二节,持续监管,第九十二条,商业银行应当于每年一季度向银监会或其派出机构提交业务连续性管理报告，包括上一年度业务连续性管理的评估报告与审计报告。,第七章 监管和处置/第二节 持续监管/第九十二条
92,第七章,监管和处置,第二节,持续监管,第九十三条,银监会及其派出机构对商业银行业务连续性管理报告进行审查，督导商业银行建立与其风险管控目标、机构规模、公众影响和所承担的社会责任相匹配的业务连续性管理体系。,第七章 监管和处置/第二节 持续监管/第九十三条
93,第七章,监管和处置,第二节,持续监管,第九十四条,银监会及其派出机构对商业银行业务连续性管理报告进行审查时，要综合考虑商业银行机构规模、业务范围以及风险状况。重点关注以下方面：(一)业务连续性管理体系的完整性和合理性；(二)业务连续性管理的实施情况；(三)业务连续性计划的演练情况；(四)业务连续性管理年度评估的完整性和准确性，审计覆盖领域和深度；(五)业务连续性管理在执行过程中存在的问题及其整改情况。,第七章 监管和处置/第二节 持续监管/第九十四条
94,第七章,监管和处置,第二节,持续监管,第九十五条,商业银行在完成业务连续性计划的全行性演练后，应当在45个工作日内向监管机构提交演练总结报告。,第七章 监管和处置/第二节 持续监管/第九十五条
95,第七章,监管和处置,第二节,持续监管,第九十六条,商业银行业务连续性管理机制存在重大缺陷、日常管理工作存在严重违规的，因违反审慎经营规则导致业务运营中断的，或在运营中断事件中应急处置不力导致事件恶化、蔓延的，银监会或其派出机构依法采取监管措施并追究有关责任人的责任。,第七章 监管和处置/第二节 持续监管/第九十六条
96,第八章,附则,第八章,附则,第九十七条,本指引适用于在中华人民共和国境内依法设立的法人商业银行和农村合作银行、城市信用社、农村信用社。政策性银行、村镇银行、金融资产管理公司、信托公司、企业集团财务公司、金融租赁公司、汽车金融公司、货币经纪公司、消费金融公司等其他银行业金融机构参照执行。,第八章 附则/第八章 附则/第九十七条
97,第八章,附则,第八章,附则,第九十八条,本指引由中国银监会负责解释、修订。,第八章 附则/第八章 附则/第九十八条
98,第八章,附则,第八章,附则,第九十九条,本指引自公布之日起执行。,第八章 附则/第八章 附则/第九十九条
